#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1717166561752719302,4.905705281998962e-07,-0.0004691046488005668,-2.2614740657900256e-07,1.0685925483703613,-0.011364687234163284,9.807719230651855
1717166561796375930,-3.9051343492246815e-07,-1.8199845726485364e-05,-7.130960000267805e-08,0.46834075450897217,0.010968584567308426,9.812846183776855
1717166561840974156,5.428591975942254e-07,0.00030731744482181966,2.311930913379001e-08,0.10839377343654633,-0.003628944978117943,9.812490463256836
1717166561899182901,-2.789483914966695e-07,0.0004703560844063759,8.262403383696437e-08,-0.1094256043434143,0.0035918522626161575,9.811491012573242
1717166561944415822,-1.6623016563244164e-07,0.0020365254022181034,1.67575149134791e-06,-0.569835901260376,-0.002283906564116478,9.813214302062988
1717166561990795781,-8.97296445145912e-07,5.046508522354998e-05,5.985111073414373e-08,-0.8226794600486755,-0.005509236827492714,9.808969497680664
1717166562046475236,1.1956581147387624e-07,0.001715861726552248,1.9122535377391614e-06,-1.2822972536087036,0.013629116117954254,9.812712669372559
1717166562103424663,-4.945632099406794e-07,-0.0005931377527303994,-4.969688234268688e-07,-0.3870057761669159,-0.009935745038092136,9.803248405456543
1717166562147466293,1.9231083570048213e-07,0.0012110685929656029,3.960457206630963e-07,-0.9800063967704773,0.0024942290037870407,9.812776565551758
1717166562196855430,1.1097527021775022e-06,-0.000993515131995082,-4.316612205457204e-07,-0.16481876373291016,0.0029056137427687645,9.80420207977295
1717166562240053466,-1.397091182298027e-06,0.0009346720180474222,1.7366426163789583e-07,-0.7686615586280823,-0.0048066480085253716,9.813581466674805
1717166562299200581,1.0458497854415327e-06,-0.0011833682656288147,-8.015567800612189e-07,0.012888388708233833,-0.004826466552913189,9.804766654968262
1717166562355175929,3.5600533010438085e-07,0.0007825467037037015,1.1648590998447617e-06,-0.5898814797401428,0.007476123049855232,9.814082145690918
1717166562396446748,-6.012160156387836e-07,-0.0012832590145990252,-8.351526048500091e-07,0.20310258865356445,-0.002399273682385683,9.805171012878418
1717166562440171530,-7.397520676022395e-07,0.0007016683812253177,-9.108388780987298e-07,-0.40824663639068604,-0.00020823907107114792,9.814268112182617
1717166562497080244,-5.0004018703475595e-08,-0.001285046455450356,-1.0402915222584852e-06,0.34838321805000305,-0.0005473513156175613,9.805405616760254
